Period,Payment,Channel,Dest Zone,Remarks,Count,State,Country
Feb W4,COD,APP,TIER 1,Verified Orders,47214,HARYANA,India
Feb W4,COD,APP,TIER 1,Verified Orders,112015,RAJASTHAN,India
Feb W4,COD,M-Site,TIER 1,Verified Orders,7127,UTTARAKHAND,India
Feb W4,COD,M-Site,TIER 2,Verified Orders,7460,BIHAR,India
Feb W4,COD,M-Site,TIER 2,Verified Orders,7652,GOA,India
Feb W4,COD,M-Site,TIER 2,Verified Orders,6936,GUJARAT,India
Feb W4,COD,M-Site,TIER 2,Verified Orders,10642,HARYANA,India
Feb W4,COD,M-Site,TIER 2,Verified Orders,23431,HIMACHAL PRADESH,India
Feb W4,COD,PC,TIER 2,Verified Orders,5843,HIMACHAL PRADESH,India
Feb W4,COD,PC,TIER 2,Verified Orders,7822,JHARKHAND,India
Feb W4,COD,PC,TIER 2,Verified Orders,3537,MADHYA PRADESH,India
Feb W4,COD,PC,TIER 2,Verified Orders,6489,MAHARASHTRA,India
Feb W4,COD,PC,TIER 2,Verified Orders,7219,MAHARASHTRA,India
Feb W4,COD,PC,TIER 2,Verified Orders,12360,MAHARASHTRA,India
Feb W4,STD,APP,TIER 2,Verified Orders,8492,PUNJAB,India
Feb W4,STD,APP,TIER 2,Verified Orders,21940,PUNJAB,India
Feb W4,STD,APP,TIER 2,Verified Orders,4698,RAJASTHAN,India
Feb W4,STD,APP,TIER 2,Verified Orders,13911,RAJASTHAN,India
Feb W4,STD,APP,TIER 2,Verified Orders,13600,TAMIL NADU,India
Feb W4,STD,APP,TIER 3,Verified Orders,25725,ANDHRA PRADESH,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,1416,BIHAR,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,4209,CHHATTISGARH,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,800,GUJARAT,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,2448,GUJARAT,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,2322,HIMACHAL PRADESH,India
Feb W4,STD,M-Site,TIER 3,Verified Orders,4181,HIMACHAL PRADESH,India
Feb W4,STD,PC,TIER 3,Verified Orders,3367,JAMMU & KASHMIR,India
Feb W4,STD,PC,TIER 3,Verified Orders,13961,JAMMU & KASHMIR,India
Feb W4,STD,PC,TIER 3,Verified Orders,1248,JHARKHAND,India
Feb W4,STD,PC,TIER 3,Verified Orders,6970,KARNATAKA,India
Feb W4,STD,PC,TIER 3,Verified Orders,4967,MADHYA PRADESH,India
Feb W4,STD,PC,TIER 3,Verified Orders,7508,MADHYA PRADESH,India
Jan W1,COD,APP,TIER 3,Verified Orders,70270,MAHARASHTRA,India
Jan W1,COD,APP,TIER 3,Verified Orders,81370,MAHARASHTRA,India
Jan W1,COD,APP,TIER 3,Verified Orders,54873,MAHARASHTRA,India
Jan W1,COD,APP,TIER 3,Verified Orders,71205,PUNJAB,India
Jan W1,COD,APP,TIER 3,Verified Orders,110404,PUNJAB,India
Jan W1,COD,APP,TIER 3,Verified Orders,230039,RAJASTHAN,India
Jan W1,COD,M-Site,TIER 3,Verified Orders,16052,RAJASTHAN,India
Jan W1,COD,M-Site,TIER 3,Verified Orders,23032,TAMIL NADU,India
Jan W1,COD,M-Site,TIER 3,Verified Orders,12643,TELANGANA,India
Jan W1,COD,M-Site,TIER 3,Verified Orders,21070,UTTAR PRADESH,India
Jan W1,COD,M-Site,TIER 3,Verified Orders,29304,UTTARAKHAND,India
Jan W1,COD,M-Site,EAST,Verified Orders,53464,ORISSA,India
Jan W1,COD,PC,EAST,Verified Orders,12435,WEST BENGAL,India
Jan W1,COD,PC,EAST,Verified Orders,18914,WEST BENGAL,India
Jan W1,COD,PC,METRO,Verified Orders,5363,DELHI,India
Jan W1,COD,PC,METRO,Verified Orders,14446,DELHI,India
Jan W1,COD,PC,METRO,Verified Orders,17105,GUJARAT,India
Jan W1,COD,PC,METRO,Verified Orders,26855,GUJARAT,India
Jan W1,STD,APP,METRO,Verified Orders,20002,HARYANA,India
Jan W1,STD,APP,METRO,Verified Orders,64377,MAHARASHTRA,India
Jan W1,STD,APP,NE,Verified Orders,7783,ARUNACHAL PRADESH,India
Jan W1,STD,APP,NE,Verified Orders,41467,ASSAM,India
Jan W1,STD,APP,NE,Verified Orders,37383,MEGHALAYA,India
Jan W1,STD,APP,NE,Verified Orders,63725,MIZORAM,India
Jan W1,STD,M-Site,NE,Verified Orders,3401,NAGALAND,India
Jan W1,STD,M-Site,NE,Verified Orders,13173,TRIPURA,India
Jan W1,STD,M-Site,TIER 1,Verified Orders,1640,GUJARAT,India
Jan W1,STD,M-Site,TIER 1,Verified Orders,8169,PONDICHERRY,India
Jan W1,STD,M-Site,TIER 2,Verified Orders,7388,BIHAR,India
Jan W1,STD,M-Site,TIER 2,Verified Orders,11891,GUJARAT,India
Jan W1,STD,PC,TIER 2,Verified Orders,10314,HIMACHAL PRADESH,India
Jan W1,STD,PC,TIER 2,Verified Orders,47502,HIMACHAL PRADESH,India
Jan W1,STD,PC,TIER 2,Verified Orders,2710,JHARKHAND,India
Jan W1,STD,PC,TIER 2,Verified Orders,25168,MADHYA PRADESH,India
Jan W1,STD,PC,TIER 2,Verified Orders,17364,MAHARASHTRA,India
Jan W1,STD,PC,TIER 2,Verified Orders,23936,MAHARASHTRA,India
Jan W2,COD,APP,TIER 2,Verified Orders,80532,MAHARASHTRA,India
Jan W2,COD,APP,TIER 2,Verified Orders,91016,PUNJAB,India
Jan W2,COD,APP,TIER 2,Verified Orders,54152,RAJASTHAN,India
Jan W2,COD,APP,TIER 2,Verified Orders,81857,RAJASTHAN,India
Jan W2,COD,APP,TIER 2,Verified Orders,120937,TAMIL NADU,India
Jan W2,COD,APP,TIER 3,Verified Orders,226164,ANDHRA PRADESH,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,20033,ANDHRA PRADESH,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,28513,BIHAR,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,13186,CHHATTISGARH,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,25241,GUJARAT,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,35409,GUJARAT,India
Jan W2,COD,M-Site,TIER 3,Verified Orders,58183,HIMACHAL PRADESH,India
Jan W2,COD,PC,TIER 3,Verified Orders,16152,HIMACHAL PRADESH,India
Jan W2,COD,PC,TIER 3,Verified Orders,23871,JAMMU & KASHMIR,India
Jan W2,COD,PC,TIER 3,Verified Orders,5767,JAMMU & KASHMIR,India
Jan W2,COD,PC,TIER 3,Verified Orders,17669,KARNATAKA,India
Jan W2,COD,PC,TIER 3,Verified Orders,20133,MADHYA PRADESH,India
Jan W2,COD,PC,TIER 3,Verified Orders,29516,MADHYA PRADESH,India
Jan W2,STD,APP,TIER 3,Verified Orders,26597,MAHARASHTRA,India
Jan W2,STD,APP,TIER 3,Verified Orders,93712,MAHARASHTRA,India
Jan W2,STD,APP,TIER 3,Verified Orders,8964,MAHARASHTRA,India
Jan W2,STD,APP,TIER 3,Verified Orders,58233,PUNJAB,India
Jan W2,STD,APP,TIER 3,Verified Orders,48306,RAJASTHAN,India
Jan W2,STD,APP,TIER 3,Verified Orders,76805,RAJASTHAN,India
Jan W2,STD,M-Site,TIER 3,Verified Orders,4627,TAMIL NADU,India
Jan W2,STD,M-Site,TIER 3,Verified Orders,18947,UTTAR PRADESH,India
Jan W2,STD,M-Site,TIER 3,Verified Orders,2076,UTTAR PRADESH,India
Jan W2,STD,M-Site,EAST,Verified Orders,11368,ORISSA,India
Jan W2,STD,M-Site,EAST,Verified Orders,9694,WEST BENGAL,India
Jan W2,STD,M-Site,METRO,Verified Orders,15338,DELHI,India
Jan W2,STD,PC,METRO,Verified Orders,13640,DELHI,India
Jan W2,STD,PC,METRO,Verified Orders,64928,GUJARAT,India
Jan W2,STD,PC,METRO,Verified Orders,3351,GUJARAT,India
Jan W2,STD,PC,METRO,Verified Orders,35060,HARYANA,India
Jan W2,STD,PC,METRO,Verified Orders,22285,KARNATAKA,India
Jan W2,STD,PC,METRO,Verified Orders,29671,KARNATAKA,India
Jan W3,COD,APP,METRO,Verified Orders,68412,KARNATAKA,India
Jan W3,COD,APP,METRO,Verified Orders,76386,MAHARASHTRA,India
Jan W3,COD,APP,METRO,Verified Orders,55686,MAHARASHTRA,India
Jan W3,COD,APP,METRO,Verified Orders,68510,TAMIL NADU,India
Jan W3,COD,APP,METRO,Verified Orders,101211,TELANGANA,India
Jan W3,COD,APP,METRO,Verified Orders,200068,TELANGANA,India
Jan W3,COD,M-Site,NE,Verified Orders,17467,ARUNACHAL PRADESH,India
Jan W3,COD,M-Site,NE,Verified Orders,23617,ASSAM,India
Jan W3,COD,M-Site,NE,Verified Orders,13743,MANIPUR,India
Jan W3,COD,M-Site,NE,Verified Orders,21096,MEGHALAYA,India
Jan W3,COD,M-Site,NE,Verified Orders,30170,MIZORAM,India
Jan W3,COD,M-Site,NE,Verified Orders,51995,NAGALAND,India
Jan W3,COD,PC,NE,Verified Orders,13459,SIKKIM,India
Jan W3,COD,PC,NE,Verified Orders,19695,SIKKIM,India
Jan W3,COD,PC,NE,Verified Orders,5580,TRIPURA,India
Jan W3,COD,PC,TIER 1,Verified Orders,14561,GUJARAT,India
Jan W3,COD,PC,TIER 1,Verified Orders,16906,GUJARAT,India
Jan W3,COD,PC,TIER 1,Verified Orders,26089,HARYANA,India
Jan W3,STD,APP,TIER 1,Verified Orders,19504,KARNATAKA,India
Jan W3,STD,APP,TIER 1,Verified Orders,63308,KERALA,India
Jan W3,STD,APP,TIER 1,Verified Orders,7824,KERALA,India
Jan W3,STD,APP,TIER 1,Verified Orders,39005,MAHARASHTRA,India
Jan W3,STD,APP,TIER 1,Verified Orders,34772,RAJASTHAN,India
Jan W3,STD,APP,TIER 1,Verified Orders,59144,UTTAR PRADESH,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,3560,ANDHRA PRADESH,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,12505,BIHAR,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,1836,GUJARAT,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,7912,GUJARAT,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,7224,HIMACHAL PRADESH,India
Jan W3,STD,M-Site,TIER 2,Verified Orders,11971,HIMACHAL PRADESH,India
Jan W3,STD,PC,TIER 2,Verified Orders,9848,JHARKHAND,India
Jan W3,STD,PC,TIER 2,Verified Orders,44430,KERALA,India
Jan W3,STD,PC,TIER 2,Verified Orders,2820,KERALA,India
Jan W3,STD,PC,TIER 2,Verified Orders,24280,MADHYA PRADESH,India
Jan W3,STD,PC,TIER 2,Verified Orders,15907,MADHYA PRADESH,India
Jan W3,STD,PC,TIER 2,Verified Orders,22863,MAHARASHTRA,India
Jan W4,COD,APP,TIER 2,Verified Orders,74262,MAHARASHTRA,India
Jan W4,COD,APP,TIER 2,Verified Orders,91224,RAJASTHAN,India
Jan W4,COD,APP,TIER 2,Verified Orders,66272,RAJASTHAN,India
Jan W4,COD,APP,TIER 2,Verified Orders,70249,TAMIL NADU,India
Jan W4,COD,APP,TIER 3,Verified Orders,106860,ANDAMAN & NICOBAR ISLANDS,India
Jan W4,COD,APP,TIER 3,Verified Orders,217511,ANDAMAN & NICOBAR ISLANDS,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,15328,ANDHRA PRADESH,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,17520,BIHAR,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,13958,CHHATTISGARH,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,16538,GUJARAT,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,24352,GUJARAT,India
Jan W4,COD,M-Site,TIER 3,Verified Orders,44291,HARYANA,India
Jan W4,COD,PC,TIER 3,Verified Orders,12247,HIMACHAL PRADESH,India
Jan W4,COD,PC,TIER 3,Verified Orders,17688,HIMACHAL PRADESH,India
Jan W4,COD,PC,TIER 3,Verified Orders,6314,JAMMU & KASHMIR,India
Jan W4,COD,PC,TIER 3,Verified Orders,13376,JAMMU & KASHMIR,India
Jan W4,COD,PC,TIER 3,Verified Orders,15919,JHARKHAND,India
Jan W4,COD,PC,TIER 3,Verified Orders,26015,KARNATAKA,India
Jan W4,STD,APP,TIER 3,Verified Orders,19683,KERALA,India
Jan W4,STD,APP,TIER 3,Verified Orders,70025,KERALA,India
Jan W4,STD,APP,TIER 3,Verified Orders,8173,MADHYA PRADESH,India
Jan W4,STD,APP,TIER 3,Verified Orders,41314,MADHYA PRADESH,India
Jan W4,STD,APP,TIER 3,Verified Orders,35460,MAHARASHTRA,India
Jan W4,STD,APP,TIER 3,Verified Orders,59932,MAHARASHTRA,India
Jan W4,STD,M-Site,TIER 3,Verified Orders,2958,MAHARASHTRA,India
Jan W4,STD,M-Site,TIER 3,Verified Orders,10365,PUNJAB,India
Jan W4,STD,M-Site,TIER 3,Verified Orders,1687,PUNJAB,India
Jan W4,STD,M-Site,TIER 3,Verified Orders,6497,RAJASTHAN,India
Jan W4,STD,M-Site,TIER 3,Verified Orders,6169,RAJASTHAN,India
Jan W4,STD,M-Site,EAST,Verified Orders,9875,WEST BENGAL,India
Jan W4,STD,PC,METRO,Verified Orders,9029,DELHI,India
Jan W4,STD,PC,METRO,Verified Orders,41954,KARNATAKA,India
Jan W4,STD,PC,METRO,Verified Orders,2700,MAHARASHTRA,India
Jan W4,STD,PC,NE,Verified Orders,22618,ASSAM,India
Jan W4,STD,PC,NE,Verified Orders,14689,MANIPUR,India
Jan W4,STD,PC,NE,Verified Orders,20458,NAGALAND,India
Mar W1,COD,APP,NE,Verified Orders,27553,SIKKIM,India
Mar W1,COD,APP,NE,Verified Orders,27770,TRIPURA,India
Mar W1,COD,APP,TIER 1,Verified Orders,32068,CHANDIGARH,India
Mar W1,COD,APP,TIER 1,Verified Orders,25806,GUJARAT,India
Mar W1,COD,APP,TIER 1,Verified Orders,39290,KERALA,India
Mar W1,COD,APP,TIER 1,Verified Orders,90721,KERALA,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,5914,GUJARAT,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,6788,HIMACHAL PRADESH,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,7091,KERALA,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,6050,MADHYA PRADESH,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,9080,MAHARASHTRA,India
Mar W1,COD,M-Site,TIER 2,Verified Orders,19369,RAJASTHAN,India
Mar W1,COD,PC,TIER 3,Verified Orders,4896,ANDAMAN & NICOBAR ISLANDS,India
Mar W1,COD,PC,TIER 3,Verified Orders,7098,BIHAR,India
Mar W1,COD,PC,TIER 3,Verified Orders,3172,BIHAR,India
Mar W1,COD,PC,TIER 3,Verified Orders,5155,GUJARAT,India
Mar W1,COD,PC,TIER 3,Verified Orders,6312,HARYANA,India
Mar W1,COD,PC,TIER 3,Verified Orders,10596,KERALA,India
Mar W1,STD,APP,TIER 3,Verified Orders,7744,KERALA,India
Mar W1,STD,APP,TIER 3,Verified Orders,20070,MADHYA PRADESH,India
Mar W1,STD,APP,TIER 3,Verified Orders,4701,MAHARASHTRA,India
Mar W1,STD,APP,TIER 3,Verified Orders,13362,RAJASTHAN,India
Mar W1,STD,APP,TIER 3,Verified Orders,12365,TELANGANA,India
Mar W1,STD,APP,EAST,Verified Orders,23769,ORISSA,India
Mar W1,STD,M-Site,EAST,Verified Orders,1135,WEST BENGAL,India
Mar W1,STD,M-Site,EAST,Verified Orders,3931,WEST BENGAL,India
Mar W1,STD,M-Site,METRO,Verified Orders,927,DELHI,India
Mar W1,STD,M-Site,METRO,Verified Orders,2371,DELHI,India
Mar W1,STD,M-Site,METRO,Verified Orders,2168,GUJARAT,India
Mar W1,STD,M-Site,METRO,Verified Orders,3964,GUJARAT,India
Mar W1,STD,PC,METRO,Verified Orders,3393,HARYANA,India
Mar W1,STD,PC,METRO,Verified Orders,12851,KARNATAKA,India
Mar W1,STD,PC,METRO,Verified Orders,1305,KARNATAKA,India
Mar W1,STD,PC,METRO,Verified Orders,7140,MAHARASHTRA,India
Mar W1,STD,PC,METRO,Verified Orders,5094,MAHARASHTRA,India
Mar W1,STD,PC,METRO,Verified Orders,7729,TAMIL NADU,India
Mar W2,COD,APP,METRO,Verified Orders,25670,TELANGANA,India
Mar W2,COD,APP,NE,Verified Orders,25082,ASSAM,India
Mar W2,COD,APP,NE,Verified Orders,28657,MANIPUR,India
Mar W2,COD,APP,NE,Verified Orders,21777,NAGALAND,India
Mar W2,COD,APP,NE,Verified Orders,33951,SIKKIM,India
Mar W2,COD,APP,NE,Verified Orders,76437,TRIPURA,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,5486,GUJARAT,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,6411,KARNATAKA,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,6563,KERALA,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,5555,KERALA,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,8273,MAHARASHTRA,India
Mar W2,COD,M-Site,TIER 1,Verified Orders,16639,TAMIL NADU,India
Mar W2,COD,PC,TIER 2,Verified Orders,4412,BIHAR,India
Mar W2,COD,PC,TIER 2,Verified Orders,6401,GUJARAT,India
Mar W2,COD,PC,TIER 2,Verified Orders,2697,HIMACHAL PRADESH,India
Mar W2,COD,PC,TIER 2,Verified Orders,4225,HIMACHAL PRADESH,India
Mar W2,COD,PC,TIER 2,Verified Orders,5434,KERALA,India
Mar W2,COD,PC,TIER 2,Verified Orders,9185,KERALA,India
Mar W2,STD,APP,TIER 2,Verified Orders,6877,MADHYA PRADESH,India
Mar W2,STD,APP,TIER 2,Verified Orders,17409,MAHARASHTRA,India
Mar W2,STD,APP,TIER 3,Verified Orders,4762,ANDAMAN & NICOBAR ISLANDS,India
Mar W2,STD,APP,TIER 3,Verified Orders,11149,ANDHRA PRADESH,India
Mar W2,STD,APP,TIER 3,Verified Orders,10792,BIHAR,India
Mar W2,STD,APP,TIER 3,Verified Orders,22913,CHHATTISGARH,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,1163,GUJARAT,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,3609,GUJARAT,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,865,HIMACHAL PRADESH,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,2171,HIMACHAL PRADESH,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,2084,KERALA,India
Mar W2,STD,M-Site,TIER 3,Verified Orders,4023,KERALA,India
Mar W2,STD,PC,TIER 3,Verified Orders,2956,MADHYA PRADESH,India
Mar W2,STD,PC,TIER 3,Verified Orders,11410,MAHARASHTRA,India
Mar W2,STD,PC,TIER 3,Verified Orders,1313,MAHARASHTRA,India
Mar W2,STD,PC,TIER 3,Verified Orders,5941,MAHARASHTRA,India
Mar W2,STD,PC,TIER 3,Verified Orders,4545,PUNJAB,India
Mar W2,STD,PC,TIER 3,Verified Orders,6843,RAJASTHAN,India
Mar W3,COD,APP,TIER 3,Verified Orders,26250,RAJASTHAN,India
